2026-07-09T11:33:17.6777862-07:00  === Sweep start: 74 skills; flags runs=2 scen=3 skills=2 pool=4 adaptive=3..5 ===
2026-07-09T11:33:17.7028935-07:00  [1/74] analyzing-dotnet-performance  RUN start
2026-07-09T12:00:21.5602394-07:00  === Sweep start: 74 skills; flags runs=2 scen=3 skills=2 pool=4 adaptive=3..5 ===
2026-07-09T12:00:21.5860569-07:00  [1/74] analyzing-dotnet-performance  RUN start
2026-07-09T12:13:46.5192174-07:00  property-patterns  RUN start (detached pid=58136)
2026-07-10T09:56:08.5138056-07:00  android-tombstone-symbolication  RUN start (detached pid=26740)
2026-07-10T10:00:44.1956775-07:00  android-tombstone-symbolication  poll (detached pid=26740 alive)
2026-07-10T10:05:04.6111198-07:00  android-tombstone-symbolication  poll (detached pid=26740 alive)
2026-07-10T10:09:32.2854718-07:00  android-tombstone-symbolication  poll (detached pid=26740 alive)
2026-07-10T10:13:53.6380311-07:00  android-tombstone-symbolication  poll (detached pid=26740 alive)
2026-07-10T10:18:00.9127054-07:00  android-tombstone-symbolication  poll (detached pid=26740 alive)
2026-07-10T10:21:53.5969380-07:00  android-tombstone-symbolication  DONE passed=False score=-11.1%
2026-07-10T10:22:36.1323886-07:00  assertion-quality  RUN start (detached pid=45432)
2026-07-10T10:26:44.4006564-07:00  assertion-quality  poll (detached pid=45432 alive)
2026-07-10T10:31:08.8462233-07:00  assertion-quality  poll (detached pid=45432 alive)
2026-07-10T10:35:25.1211495-07:00  assertion-quality  poll (detached pid=45432 alive)
2026-07-10T10:39:46.1114591-07:00  assertion-quality  poll (detached pid=45432 alive)
2026-07-10T10:43:54.1401824-07:00  assertion-quality  poll (detached pid=45432 alive)
2026-07-10T10:45:57.8984426-07:00  assertion-quality  DONE passed=False score=-32.3%
2026-07-10T10:46:55.6586883-07:00  crap-score  RUN start (detached pid=30948)
2026-07-10T10:47:35.8809376-07:00  test-tagging  RUN start (detached pid=55552)
2026-07-10T10:48:21.6788064-07:00  crap-score  poll (detached pid=30948 alive)
2026-07-10T10:53:41.2843831-07:00  test-tagging  poll (detached pid=55552 alive)
2026-07-10T10:58:06.2448658-07:00  crap-score  poll (detached pid=30948 alive)
2026-07-10T11:02:42.0219124-07:00  test-tagging  poll (detached pid=55552 alive)
2026-07-10T11:07:15.1490497-07:00  crap-score  DONE (harvested prior run)
2026-07-10T11:07:46.6868723-07:00  property-patterns  RUN start (detached pid=61948)
2026-07-10T11:08:24.1791189-07:00  test-tagging  poll (detached pid=55552 alive)
2026-07-10T11:12:36.5272828-07:00  property-patterns  poll (detached pid=61948 alive)
2026-07-10T11:16:45.0942502-07:00  test-tagging  poll (detached pid=55552 alive)
2026-07-10T11:21:08.9467308-07:00  test-tagging  poll (detached pid=55552 alive)
2026-07-10T11:25:17.3322427-07:00  property-patterns  poll (detached pid=61948 alive)
2026-07-10T11:27:59.6516909-07:00  property-patterns  DONE passed=? score=?%
